0.131977	3.58507	0	0	0.131977	3.58507	-0.0712	3.395	-0.2028	0.9792
-5.92851	4.23649	-7.55148	1.14728	-0.494089	3.9608	-0.3356	4.1478	-0.4399	0.898
-9.12596	-6.54547	-3.45512	-5.20904	-0.557126	4.99382	-0.7789	4.8112	-0.6494	0.7604
0.493032	-13.7355	4.22221	-6.01823	-1.5798	5.42433	-1.3732	5.3436	-0.8181	0.575
10.4248	-9.04819	6.9641	-1.70998	-2.20794	5.94322	-2.0813	5.7114	-0.9354	0.3535
14.369	0.0988395	6.40483	1.97421	-2.87242	5.84303	-2.8586	5.8916	-0.994	0.1097
12.602	8.62016	4.57085	3.93509	-3.93024	5.95711	-3.6563	5.8728	-0.99	-0.1409
7.54737	14.0199	2.62915	4.41744	-4.45233	5.59675	-4.4242	5.6562	-0.9239	-0.3827
1.28569	16.0861	1.01509	4.01476	-4.7274	4.83057	-5.1142	5.2554	-0.7997	-0.6004
-4.958	15.7709	-0.188375	3.25536	-5.59528	4.84633	-5.6828	4.6957	-0.6253	-0.7804
-10.5392	12.9011	-1.02161	2.22848	-6.25381	3.87647	-6.0944	4.0121	-0.4115	-0.9114
-14.6016	7.96103	-1.47727	1.09509	-6.68762	3.35925	-6.323	3.2476	-0.1719	-0.9851
-16.0829	1.55791	-1.52358	-0.0206805	-5.90825	2.51535	-6.3543	2.4503	0.0784	-0.9969
-15.1014	-5.22176	-1.27344	-0.974037	-6.1449	1.69729	-6.1864	1.6703	0.3239	-0.9461
-11.4121	-10.9107	-0.768098	-1.61198	-5.86232	0.630223	-5.8297	0.9566	0.549	-0.8358
-6.06117	-14.1139	-0.16583	-1.83764	-5.47501	0.619064	-5.3068	0.3539	0.7396	-0.673
-10.4709	-9.03791	-0.568596	-1.08926	-4.31554	-0.287376	-4.6504	-0.0997	0.8838	-0.468
-13.692	-2.59442	-0.811846	-0.302193	-4.29479	-0.372397	-3.9018	-0.3759	0.9724	-0.2335
-13.5668	3.91227	-0.740312	0.388712	-3.12334	-0.346517	-3.108	-0.4572	0.9999	0.0157
-10.7006	8.59383	-0.456119	0.818309	-2.30579	-0.379428	-2.319	-0.3386	0.9646	0.2638
-6.24409	11.4315	-0.081191	1.02774	-1.41997	-0.0659234	-1.5843	-0.0275	0.8686	0.4954
-8.77399	7.01641	-0.267712	0.563585	-0.905903	0.443866	-0.95	0.4566	0.7181	0.6959
-9.82803	2.89116	-0.330868	0.179394	-0.676725	1.50605	-0.456	1.0832	0.5225	0.8526
-9.59035	-0.645356	-0.299213	-0.115263	-0.115419	1.71743	-0.1334	1.813	0.2941	0.9558
-8.56932	-3.66341	-0.21829	-0.339696	-0.0248323	2.45767	-0.0024	2.6	0.0471	0.9989
-7.00773	-6.03438	-0.109618	-0.494436	0.0790664	3.62694	0.0509	3.3969	0.172	0.9851
-5.16989	-7.6866	0.00760338	-0.583351	0.467073	4.76074	0.2915	4.1576	0.4115	0.9114
-3.1441	-8.59121	0.127069	-0.612509	0.711889	4.40019	0.7137	4.8347	0.6253	0.7804
-1.14283	-9.02598	0.236147	-0.607926	1.06731	4.88527	1.2911	5.3854	0.7997	0.6004
0.727996	-9.11895	0.330025	-0.581461	1.63929	5.64135	1.9873	5.7753	0.9239	0.3827
2.26343	-8.95163	0.399076	-0.540856	3.01296	5.63384	2.7585	5.9798	0.99	0.1409
3.69139	-8.5947	0.457693	-0.491698	3.22081	5.87335	3.5564	5.9861	0.994	-0.1098
4.95725	-8.24321	0.504016	-0.446638	4.49017	6.59724	4.3308	5.7937	0.9354	-0.3535
5.95736	-7.72783	0.533984	-0.395315	4.62631	5.34663	5.033	5.4148	0.8181	-0.575
6.74166	-7.17279	0.551494	-0.3455	4.88967	4.43966	5.6189	4.8732	0.6494	-0.7604
7.41452	-6.74108	0.562601	-0.306111	6.11919	4.21607	6.0517	4.2029	0.4399	-0.898
7.96374	-6.35821	0.567219	-0.272011	6.56057	3.5994	6.3042	3.446	0.2028	-0.9792
8.37235	-5.94496	0.565187	-0.23865	5.97731	2.8484	6.3606	2.6501	-0.0471	-0.9989
8.68999	-5.61396	0.559168	-0.211665	6.30442	2.20319	6.2172	1.8651	-0.2941	-0.9558
8.8505	-5.37363	0.546709	-0.191047	5.8194	1.03372	5.8832	1.1405	-0.5225	-0.8526
8.95683	-5.16794	0.532607	-0.173396	5.6566	0.70044	5.3794	0.5218	-0.7181	-0.6959
8.92177	-5.00544	0.513362	-0.158876	4.58763	0.058266	4.7376	0.0477	-0.8686	-0.4955
8.79836	-4.90013	0.491572	-0.14793	3.88465	-0.323559	3.998	-0.2518	-0.9646	-0.2639
8.63275	-4.7986	0.469241	-0.137796	3.35501	-0.359344	3.2072	-0.358	-0.9999	-0.0157
8.42404	-4.65484	0.44637	-0.126343	2.54237	-0.227127	2.4149	-0.2643	-0.9724	0.2334
8.24843	-4.39949	0.425927	-0.110649	2.11514	0.075966	1.6707	0.0236	-0.8838	0.4679
8.188	-3.80609	0.410814	-0.0813197	1.26787	0.571681	1.0215	0.4875	-0.7396	0.673
8.31936	-2.66745	0.403529	-0.0307049	0.442197	0.80733	0.5081	1.0983	-0.549	0.8358
8.49433	-1.23939	0.398181	0.0291347	0.213403	1.64128	0.1627	1.8176	-0.3239	0.9461
8.5332	0.232557	0.38827	0.0876556	0.0611501	2.36081	0.0071	2.6002	-0.0785	0.9969
