R	3.5875	1.5340	1.2460	1477010443700000	-0.0712	3.3950	-0.2028	0.9792
R	3.9915	1.6949	0.8880	1477010444500000	-0.3356	4.1478	-0.4399	0.8980
R	5.0248	1.6819	0.7110	1477010445300000	-0.7789	4.8112	-0.6494	0.7604
R	5.6497	1.8542	0.7450	1477010446100000	-1.3732	5.3436	-0.8181	0.5750
R	6.3401	1.9265	0.8234	1477010446900000	-2.0813	5.7114	-0.9354	0.3535
R	6.5109	2.0277	0.8114	1477010447700000	-2.8586	5.8916	-0.9940	0.1097
R	7.1368	2.1540	0.3760	1477010448500000	-3.6563	5.8728	-0.9900	-0.1409
R	7.1517	2.2428	0.6527	1477010449300000	-4.4242	5.6562	-0.9239	-0.3827
R	6.7589	2.3454	0.1179	1477010450100000	-5.1142	5.2554	-0.7997	-0.6004
R	7.4023	2.4278	0.1453	1477010450900000	-5.6828	4.6957	-0.6253	-0.7804
R	7.3578	2.5867	0.0679	1477010451700000	-6.0944	4.0121	-0.4115	-0.9114
R	7.4839	2.6761	-0.1536	1477010452500000	-6.3230	3.2476	-0.1719	-0.9851
R	6.4214	2.7391	-0.1716	1477010453300000	-6.3543	2.4503	0.0784	-0.9969
R	6.3750	2.8721	-0.8222	1477010454100000	-6.1864	1.6703	0.3239	-0.9461
R	5.8961	3.0345	-0.2114	1477010454900000	-5.8297	0.9566	0.5490	-0.8358
R	5.5099	3.0290	-0.4608	1477010455700000	-5.3068	0.3539	0.7396	-0.6730
R	4.3251	-3.0751	-0.9728	1477010456500000	-4.6504	-0.0997	0.8838	-0.4680
R	4.3109	-3.0551	-0.8312	1477010457300000	-3.9018	-0.3759	0.9724	-0.2335
R	3.1425	-3.0311	-0.9249	1477010458100000	-3.1080	-0.4572	0.9999	0.0157
R	2.3368	-2.9785	-0.9280	1477010458900000	-2.3190	-0.3386	0.9646	0.2638
R	1.4215	-3.0952	-1.1725	1477010459700000	-1.5843	-0.0275	0.8686	0.4954
R	1.0088	2.6860	-0.7477	1477010460500000	-0.9500	0.4566	0.7181	0.6959
R	1.6511	1.9931	1.0221	1477010461300000	-0.4560	1.0832	0.5225	0.8526
R	1.7213	1.6379	0.7991	1477010462100000	-0.1334	1.8130	0.2941	0.9558
R	2.4578	1.5809	0.5931	1477010462900000	-0.0024	2.6000	0.0471	0.9989
R	3.6278	1.5490	1.2406	1477010463700000	0.0509	3.3969	0.1720	0.9851
R	4.7836	1.4730	0.7212	1477010464500000	0.2915	4.1576	0.4115	0.9114
R	4.4574	1.4104	0.5151	1477010465300000	0.7137	4.8347	0.6253	0.7804
R	5.0005	1.3557	1.1266	1477010466100000	1.2911	5.3854	0.7997	0.6004
R	5.8747	1.2880	0.7085	1477010466900000	1.9873	5.7753	0.9239	0.3827
R	6.3889	1.0797	0.8860	1477010467700000	2.7585	5.9798	0.9900	0.1409
R	6.6985	1.0692	0.5069	1477010468500000	3.5564	5.9861	0.9940	-0.1098
R	7.9803	0.9732	0.3596	1477010469300000	4.3308	5.7937	0.9354	-0.3535
R	7.0703	0.8575	-0.1945	1477010470100000	5.0330	5.4148	0.8181	-0.5750
R	6.6045	0.7372	-0.1214	1477010470900000	5.6189	4.8732	0.6494	-0.7604
R	7.4310	0.6033	0.3364	1477010471700000	6.0517	4.2029	0.4399	-0.8980
R	7.4831	0.5018	-0.4640	1477010472500000	6.3042	3.4460	0.2028	-0.9792
R	6.6213	0.4447	-0.1310	1477010473300000	6.3606	2.6501	-0.0471	-0.9989
R	6.6783	0.3362	-1.0315	1477010474100000	6.2172	1.8651	-0.2941	-0.9558
R	5.9105	0.1758	-0.1250	1477010474900000	5.8832	1.1405	-0.5225	-0.8526
R	5.6998	0.1232	-0.7016	1477010475700000	5.3794	0.5218	-0.7181	-0.6959
R	4.5880	0.0127	-1.4005	1477010476500000	4.7376	0.0477	-0.8686	-0.4955
R	3.8981	-0.0831	-0.8880	1477010477300000	3.9980	-0.2518	-0.9646	-0.2639
R	3.3742	-0.1067	-0.9376	1477010478100000	3.2072	-0.3580	-0.9999	-0.0157
R	2.5525	-0.0891	-1.0641	1477010478900000	2.4149	-0.2643	-0.9724	0.2334
R	2.1165	0.0359	-0.8169	1477010479700000	1.6707	0.0236	-0.8838	0.4679
R	1.3908	0.4236	-0.7963	1477010480500000	1.0215	0.4875	-0.7396	0.6730
R	0.9205	1.0697	0.4079	1477010481300000	0.5081	1.0983	-0.5490	0.8358
R	1.6551	1.4415	1.0091	1477010482100000	0.1627	1.8176	-0.3239	0.9461
R	2.3616	1.5449	1.5237	1477010482900000	0.0071	2.6002	-0.0785	0.9969
